"Louisiana Board of Regents",Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
"Capital University",28.062,-82.413225,0.8,place,,,,,University,FL,"Hillsborough County",33620,US,"TIGER/Line® dataset from the US Census Bureau"
"University of Rochester-Warner School ",35.49426,-95.30552,1,place,,,,,Warner,OK,"Muskogee County",74469,US,"TIGER/Line® dataset from the US Census Bureau"
"University of Louisville ",39.950948,-105.159078,1,place,,,,,Louisville,CO,"Boulder County",80027,US,"TIGER/Line® dataset from the US Census Bureau"
"Indiana University Libraries ",39.622129,-87.454769,0.67,place,,,,,Universal,IN,"Vermillion County",47884,US,"TIGER/Line® dataset from the US Census Bureau"
"University of North Florida ",0,0,0,,,,,,,,,,,
"Prince George’s Community College ",0,0,0,,,,,,,,,,,
"University of Wisconsin-River Falls ",44.802351,-92.595365,1,place,,,,,"River Falls",WI,"Pierce County",54022,US,"TIGER/Line® dataset from the US Census Bureau"
"Niagara University ",43.13867,-79.03893,1,place,,,,,"Niagara University",NY,"Niagara County",14109,US,"TIGER/Line® dataset from the US Census Bureau"
"Pierce College ",42.224218,-97.581551,1,place,,,,,Pierce,NE,"Pierce County",68767,US,"TIGER/Line® dataset from the US Census Bureau"
"The State University of New York (SUNY) ",0,0,0,,,,,,,,,,,
"Brown University ",28.062,-82.413225,0.8,place,,,,,University,FL,"Hillsborough County",33620,US,"TIGER/Line® dataset from the US Census Bureau"
"Mississippi State University Meridian ",32.381605,-88.663489,1,place,,,,,Meridian,MS,"Lauderdale County",39301,US,"TIGER/Line® dataset from the US Census Bureau"
"Purdue University Fort Wayne ",0,0,0,,,,,,,,,,,
"Winston-Salem State University ",35.841039,-90.675602,0.9,place,,,,,"State University",AR,"Craighead County",72467,US,"TIGER/Line® dataset from the US Census Bureau"
"University of North Florida ",0,0,0,,,,,,,,,,,
"Niagara University ",43.13867,-79.03893,1,place,,,,,"Niagara University",NY,"Niagara County",14109,US,"TIGER/Line® dataset from the US Census Bureau"
"University of St. Thomas ",48.630369,-97.471056,1,place,,,,,"Saint Thomas",ND,"Pembina County",58276,US,"TIGER/Line® dataset from the US Census Bureau"
"Rio Salado College",35.691868,-91.598917,1,place,,,,,Salado,AR,"Independence County",72575,US,"TIGER/Line® dataset from the US Census Bureau"
"LaGrange College ",41.64025,-104.16384,1,place,,,,,Lagrange,WY,"Goshen County",82221,US,"TIGER/Line® dataset from the US Census Bureau"
"University of Texas at San Antonio    ",29.468413,-98.528889,0.33,place,,,,,"San Antonio",TX,"Bexar County",78201,US,"TIGER/Line® dataset from the US Census Bureau"
"Santa Rosa County District Schools ",45.408173,-122.922323,0.8,place,,,,,Scholls,OR,"Washington County",97123,US,"TIGER/Line® dataset from the US Census Bureau"
"Prince George’s Community College ",0,0,0,,,,,,,,,,,
"Lewis University",28.062,-82.413225,0.8,place,,,,,University,FL,"Hillsborough County",33620,US,"TIGER/Line® dataset from the US Census Bureau"
"Saint Xavier University ",28.062,-82.413225,0.27,place,,,,,University,FL,"Hillsborough County",33620,US,"TIGER/Line® dataset from the US Census Bureau"
"Arkansas Northeastern College ",42.055136,-71.081416,0.33,place,,,,,"North Easton",MA,"Bristol County",02357,US,"TIGER/Line® dataset from the US Census Bureau"
"University of California, Riverside ",33.657531,-117.812668,1,street_center,,"University Dr",,,Irvine,CA,"Orange County",92612,US,"TIGER/Line® dataset from the US Census Bureau"
"NHTI-Concord’s Community College ",37.953672,-122.022872,1,place,,,,,Concord,CA,"Contra Costa County",94518,US,"TIGER/Line® dataset from the US Census Bureau"
